FID	IID	Population
4459273570_R02C02	4459273570_R02C02	Ket
4459273584_R01C01	4459273584_R01C01	Ket
4459273584_R01C02	4459273584_R01C02	Ket
4459273584_R02C01	4459273584_R02C01	Ket
4459273586_R01C01	4459273586_R01C01	Ket
4459273586_R01C02	4459273586_R01C02	Ket
4459273586_R02C01	4459273586_R02C01	Ket
4459273586_R02C02	4459273586_R02C02	Ket
4459273587_R01C01	4459273587_R01C01	Ket
4459273587_R01C02	4459273587_R01C02	Ket
4459273587_R02C01	4459273587_R02C01	Ket
4459273587_R02C02	4459273587_R02C02	Ket
4459273588_R01C01	4459273588_R01C01	Ket
4459273588_R01C02	4459273588_R01C02	Ket
4459273588_R02C01	4459273588_R02C01	Ket
4459273588_R02C02	4459273588_R02C02	Ket
4459273589_R01C01	4459273589_R01C01	Ket
4459273589_R01C02	4459273589_R01C02	Ket
4459273589_R02C01	4459273589_R02C01	Ket
4459273589_R02C02	4459273589_R02C02	Ket
4459273590_R01C01	4459273590_R01C01	Ket
4459273590_R01C02	4459273590_R01C02	Ket
4459273590_R02C01	4459273590_R02C01	Ket
4459273590_R02C02	4459273590_R02C02	Ket
4459273600_R01C02	4459273600_R01C02	Ket
4459273600_R02C02	4459273600_R02C02	Ket
4461875041_R01C01	4461875041_R01C01	Kirgiz
4461875041_R01C02	4461875041_R01C02	Kirgiz
4461875041_R02C02	4461875041_R02C02	Kirgiz
4461875297_R01C01	4461875297_R01C01	Kirgiz
4461875297_R01C02	4461875297_R01C02	Kirgiz
4461875297_R02C01	4461875297_R02C01	Kirgiz
4461875297_R02C02	4461875297_R02C02	Kirgiz
4461875301_R01C01	4461875301_R01C01	Kirgiz
4461875301_R02C01	4461875301_R02C01	Kirgiz
4461875301_R02C02	4461875301_R02C02	Kirgiz
4461875424_R01C01	4461875424_R01C01	Kirgiz
4461875424_R01C02	4461875424_R01C02	Kirgiz
4461875424_R02C02	4461875424_R02C02	Kirgiz
4461875461_R01C01	4461875461_R01C01	Kirgiz
4461875461_R01C02	4461875461_R01C02	Kirgiz
4461875461_R02C01	4461875461_R02C01	Kirgiz
4461875461_R02C02	4461875461_R02C02	Kirgiz
4461875524_R01C01	4461875524_R01C01	Kirgiz
4461875524_R01C02	4461875524_R01C02	Kirgiz
4461875524_R02C01	4461875524_R02C01	Kirgiz
4461875754_R01C01	4461875754_R01C01	Khanty
4461875754_R01C02	4461875754_R01C02	Khanty
4461875754_R02C01	4461875754_R02C01	Khanty
4461875754_R02C02	4461875754_R02C02	Khanty
4493906116_R01C01	4493906116_R01C01	Kirgiz
4493906457_R02C02	4493906457_R02C02	Kirgiz
4493906459_R01C01	4493906459_R01C01	Kirgiz
4493906459_R01C02	4493906459_R01C02	Kirgiz
4481622837_R01C01	4481622837_R01C01	Khanty
4481622837_R02C01	4481622837_R02C01	Khanty
4481622837_R02C02	4481622837_R02C02	Tuva
4481622838_R01C01	4481622838_R01C01	Tuva
4481622838_R01C02	4481622838_R01C02	Tuva
4481622838_R02C01	4481622838_R02C01	Tuva
4481622838_R02C02	4481622838_R02C02	Tuva
4481622839_R01C01	4481622839_R01C01	Tuva
4481622839_R02C01	4481622839_R02C01	Tuva
4481622839_R02C02	4481622839_R02C02	Tuva
4481622840_R01C01	4481622840_R01C01	Tuva
4481622840_R02C01	4481622840_R02C01	Tuva
4481622840_R02C02	4481622840_R02C02	Tuva
4481622841_R01C01	4481622841_R01C01	Tuva
4481622841_R01C02	4481622841_R01C02	Tuva
4481622841_R02C01	4481622841_R02C01	Tuva
4481622841_R02C02	4481622841_R02C02	Tuva
4481622859_R01C01	4481622859_R01C01	Tuva
4481622859_R01C02	4481622859_R01C02	Tuva
4481622859_R02C01	4481622859_R02C01	Tuva
4481622859_R02C02	4481622859_R02C02	Tuva
4481622860_R01C01	4481622860_R01C01	Tuva
4481622860_R01C02	4481622860_R01C02	Tuva
4481622860_R02C02	4481622860_R02C02	Tuva
4481622894_R01C01	4481622894_R01C01	Tuva
4481622894_R02C01	4481622894_R02C01	Tuva
4481622894_R02C02	4481622894_R02C02	Tuva
4481622897_R01C01	4481622897_R01C01	Tuva
4481622897_R01C02	4481622897_R01C02	Tuva
4481622897_R02C01	4481622897_R02C01	Tuva
4481622897_R02C02	4481622897_R02C02	Tuva
4481622899_R01C01	4481622899_R01C01	Tuva
4481622899_R01C02	4481622899_R01C02	Tuva
4481622899_R02C01	4481622899_R02C01	Tuva
4481622899_R02C02	4481622899_R02C02	Tuva
4481622748_R01C01	4481622748_R01C01	Khanty
4481622748_R01C02	4481622748_R01C02	Khanty
4481622748_R02C01	4481622748_R02C01	Khanty
4481622748_R02C02	4481622748_R02C02	Khanty
4481622749_R01C01	4481622749_R01C01	Khanty
4481622749_R01C02	4481622749_R01C02	Khanty
4481622749_R02C01	4481622749_R02C01	Khanty
4481622749_R02C02	4481622749_R02C02	Khanty
4481622750_R01C01	4481622750_R01C01	Khanty
4481622750_R02C01	4481622750_R02C01	Khanty
4481622750_R02C02	4481622750_R02C02	Khanty
4481622751_R01C01	4481622751_R01C01	Khanty
4481622751_R01C02	4481622751_R01C02	Khanty
4481622751_R02C01	4481622751_R02C01	Khanty
4481622751_R02C02	4481622751_R02C02	Khanty
4481622759_R01C01	4481622759_R01C01	Khanty
4481622761_R02C01	4481622761_R02C01	Khanty
4481622761_R02C02	4481622761_R02C02	Khanty
4481622776_R01C01	4481622776_R01C01	Khanty
4481622776_R02C01	4481622776_R02C01	Khanty
4481622776_R02C02	4481622776_R02C02	Khanty
4481622799_R01C02	4481622799_R01C02	Khanty
4481622799_R02C01	4481622799_R02C01	Khanty
4481622799_R02C02	4481622799_R02C02	Tuva
4481622800_R01C01	4481622800_R01C01	Tuva
4481622800_R01C02	4481622800_R01C02	Tuva
4481622800_R02C01	4481622800_R02C01	Tuva
4481622800_R02C02	4481622800_R02C02	Tuva
4481622805_R01C02	4481622805_R01C02	Tuva
4481622805_R02C01	4481622805_R02C01	Tuva
4481622805_R02C02	4481622805_R02C02	Tuva
4481622807_R01C01	4481622807_R01C01	Tuva
4481622807_R02C01	4481622807_R02C01	Tuva
4481622807_R02C02	4481622807_R02C02	Tuva
4257735223_A	4257735223_A	Buryat
4257735223_B	4257735223_B	Buryat
4257735224_A	4257735224_A	Buryat
4257735224_B	4257735224_B	Buryat
4257735229_A	4257735229_A	Buryat
4257735230_A	4257735230_A	Buryat
4257735230_B	4257735230_B	Buryat
4257735231_A	4257735231_A	Buryat
4257735231_B	4257735231_B	Buryat
4257735262_A	4257735262_A	Buryat
4257735262_B	4257735262_B	Buryat
4257735264_B	4257735264_B	Buryat
4257735582_A	4257735582_A	Buryat
4257735582_B	4257735582_B	Buryat
4257735595_A	4257735595_A	Buryat
4257735595_B	4257735595_B	Buryat
4257735598_A	4257735598_A	Buryat
4257735598_B	4257735598_B	Buryat
4257735599_A	4257735599_A	Buryat
4257735599_B	4257735599_B	Buryat
4257735600_A	4257735600_A	Buryat
4257735600_B	4257735600_B	Buryat
4257735662_A	4257735662_A	Buryat
4257735662_B	4257735662_B	Buryat
4257735664_A	4257735664_A	Buryat
4257735664_B	4257735664_B	Buryat
4257735669_A	4257735669_A	Buryat
4257735669_B	4257735669_B	Buryat
4257735685_A	4257735685_A	Buryat
4257735685_B	4257735685_B	Buryat
4257735686_A	4257735686_A	Buryat
4257735686_B	4257735686_B	Buryat
4257735687_A	4257735687_A	Buryat
4257735687_B	4257735687_B	Buryat
4257735735_A	4257735735_A	Buryat
4257735735_B	4257735735_B	Buryat
4257735745_A	4257735745_A	Buryat
4257735745_B	4257735745_B	Buryat
4257735746_A	4257735746_A	Buryat
4257735746_B	4257735746_B	Buryat
4257735747_A	4257735747_A	Buryat
4257735747_B	4257735747_B	Buryat
4257735807_A	4257735807_A	Buryat
4257735807_B	4257735807_B	Buryat
4257735763_A	4257735763_A	Chinese
4257735763_B	4257735763_B	Chinese
4257735764_A	4257735764_A	Chinese
4257735764_B	4257735764_B	Chinese
4257735765_A	4257735765_A	Chinese
4257735765_B	4257735765_B	Chinese
4257735835_A	4257735835_A	Chinese
4257735835_B	4257735835_B	Chinese
4257735837_A	4257735837_A	Chinese
4257735847_A	4257735847_A	Chinese
4257735847_B	4257735847_B	Chinese
4257735855_A	4257735855_A	Chinese
4257735855_B	4257735855_B	Chinese
4257735210_A	4257735210_A	Kazakh
4257735210_B	4257735210_B	Kazakh
4257735225_A	4257735225_A	Kazakh
4257735225_B	4257735225_B	Kazakh
4257735304_A	4257735304_A	Kazakh
4257735304_B	4257735304_B	Kazakh
4257735306_A	4257735306_A	Kazakh
4257735306_B	4257735306_B	Kazakh
4257735316_A	4257735316_A	Kazakh
4257735316_B	4257735316_B	Kazakh
4257735317_A	4257735317_A	Kazakh
4257735317_B	4257735317_B	Kazakh
4257735318_A	4257735318_A	Kazakh
4257735318_B	4257735318_B	Kazakh
4257735359_A	4257735359_A	Kazakh
4257735359_B	4257735359_B	Kazakh
4257735578_B	4257735578_B	Kazakh
4257735597_A	4257735597_A	Kazakh
4257735597_B	4257735597_B	Kazakh
4257735607_A	4257735607_A	Kazakh
4257735608_A	4257735608_A	Kazakh
4257735608_B	4257735608_B	Kazakh
4257735688_B	4257735688_B	Kazakh
4257735689_A	4257735689_A	Kazakh
4257735689_B	4257735689_B	Kazakh
4257735690_A	4257735690_A	Kazakh
4257735690_B	4257735690_B	Kazakh
4257735734_A	4257735734_A	Kazakh
4257735734_B	4257735734_B	Kazakh
4257735772_A	4257735772_A	Kazakh
4257735772_B	4257735772_B	Kazakh
4257735773_B	4257735773_B	Kazakh
4257735779_A	4257735779_A	Kazakh
4257735779_B	4257735779_B	Kazakh
4257735780_A	4257735780_A	Kazakh
4257735780_B	4257735780_B	Kazakh
4257735837_B	4257735837_B	Kazakh
4257735844_A	4257735844_A	Kazakh
4257735844_B	4257735844_B	Kazakh
4257735845_A	4257735845_A	Kazakh
4257735845_B	4257735845_B	Kazakh
4257735846_A	4257735846_A	Kazakh
4257735846_B	4257735846_B	Kazakh
4257735854_A	4257735854_A	Kazakh
4257735854_B	4257735854_B	Kazakh
4252441651_B	4252441651_B	Kirgiz
4252441653_A	4252441653_A	Kirgiz
4252441653_B	4252441653_B	Kirgiz
4252441715_B	4252441715_B	Kirgiz
4159588086_A	4159588086_A	Russian_NSK
4159588086_B	4159588086_B	Russian_NSK
4159588297_A	4159588297_A	Russian_NSK
4159588297_B	4159588297_B	Russian_NSK
4159588392_A	4159588392_A	Russian_NSK
4159588392_B	4159588392_B	Russian_NSK
4159588416_A	4159588416_A	Russian_NSK
4159588416_B	4159588416_B	Russian_NSK
4159588417_A	4159588417_A	Russian_NSK
4159588417_B	4159588417_B	Russian_NSK
4159588431_A	4159588431_A	Russian_NSK
4159588431_B	4159588431_B	Russian_NSK
4159588644_A	4159588644_A	Russian_NSK
4159588644_B	4159588644_B	Russian_NSK
4159588645_A	4159588645_A	Russian_NSK
4159588645_B	4159588645_B	Russian_NSK
4159588678_A	4159588678_A	Russian_NSK
4159588678_B	4159588678_B	Russian_NSK
4159588694_A	4159588694_A	Russian_NSK
4159588694_B	4159588694_B	Russian_NSK
4159588737_A	4159588737_A	Russian_NSK
4159588737_B	4159588737_B	Russian_NSK
4159588752_A	4159588752_A	Russian_NSK
4159588752_B	4159588752_B	Russian_NSK
4159588824_B	4159588824_B	Russian_NSK
4159588825_A	4159588825_A	Russian_NSK
4159588825_B	4159588825_B	Russian_NSK
4159588826_A	4159588826_A	Russian_NSK
4159588826_B	4159588826_B	Russian_NSK
4159588837_B	4159588837_B	Russian_NSK
4159588856_A	4159588856_A	Russian_NSK
4159588856_B	4159588856_B	Russian_NSK
4159588868_A	4159588868_A	Russian_NSK
4159588868_B	4159588868_B	Russian_NSK
4159588877_A	4159588877_A	Russian_NSK
4159588877_B	4159588877_B	Russian_NSK
4159588898_A	4159588898_A	Russian_NSK
4159588898_B	4159588898_B	Russian_NSK
4257735504_A	4257735504_A	Russian_STV
4257735504_B	4257735504_B	Russian_STV
4257735530_A	4257735530_A	Russian_STV
4257735530_B	4257735530_B	Russian_STV
4257735538_A	4257735538_A	Russian_STV
4257735538_B	4257735538_B	Russian_STV
4257735539_A	4257735539_A	Russian_STV
4257735539_B	4257735539_B	Russian_STV
4257735607_B	4257735607_B	Russian_STV
4257735609_B	4257735609_B	Russian_STV
4257735613_A	4257735613_A	Russian_STV
4257735614_A	4257735614_A	Russian_STV
4257735614_B	4257735614_B	Russian_STV
4257735622_A	4257735622_A	Russian_STV
4257735622_B	4257735622_B	Russian_STV
4257735639_A	4257735639_A	Russian_STV
4257735639_B	4257735639_B	Russian_STV
4257735651_A	4257735651_A	Russian_STV
4257735651_B	4257735651_B	Russian_STV
4257735663_A	4257735663_A	Russian_STV
4257735663_B	4257735663_B	Russian_STV
4257735802_A	4257735802_A	Russian_STV
4257735802_B	4257735802_B	Russian_STV
4257735829_A	4257735829_A	Russian_STV
4257735829_B	4257735829_B	Russian_STV
4257735830_A	4257735830_A	Russian_STV
4257735830_B	4257735830_B	Russian_STV
4257735836_B	4257735836_B	Russian_STV
4257735849_A	4257735849_A	Russian_STV
4257735849_B	4257735849_B	Russian_STV
4257735850_A	4257735850_A	Russian_STV
4257735850_B	4257735850_B	Russian_STV
4257735851_A	4257735851_A	Russian_STV
4257735851_B	4257735851_B	Russian_STV
4257735852_A	4257735852_A	Russian_STV
4257735853_A	4257735853_A	Russian_STV
4257735853_B	4257735853_B	Russian_STV
4257735872_A	4257735872_A	Russian_STV
4257735872_B	4257735872_B	Russian_STV
4189242360_A	4189242360_A	Yakut
4189242360_B	4189242360_B	Yakut
4189242403_A	4189242403_A	Yakut
4189242403_B	4189242403_B	Yakut
4189242404_A	4189242404_A	Yakut
4189242404_B	4189242404_B	Yakut
4189242429_A	4189242429_A	Yakut
4189242429_B	4189242429_B	Yakut
4247625673_A	4247625673_A	Yakut
4247625673_B	4247625673_B	Yakut
4247625674_A	4247625674_A	Yakut
4247625715_A	4247625715_A	Yakut
4247625715_B	4247625715_B	Yakut
4247625716_A	4247625716_A	Yakut
4247625716_B	4247625716_B	Yakut
4247625717_B	4247625717_B	Yakut
4247625785_A	4247625785_A	Yakut
4247625785_B	4247625785_B	Yakut
4247625878_B	4247625878_B	Yakut
4252441358_A	4252441358_A	Yakut
4252441358_B	4252441358_B	Yakut
4252441455_A	4252441455_A	Yakut
4252441455_B	4252441455_B	Yakut
4252441456_A	4252441456_A	Yakut
4252441457_A	4252441457_A	Yakut
4252441457_B	4252441457_B	Yakut
4252441491_A	4252441491_A	Yakut
4252441491_B	4252441491_B	Yakut
4252441590_A	4252441590_A	Yakut
4252441590_B	4252441590_B	Yakut
4252441591_A	4252441591_A	Yakut
4252441591_B	4252441591_B	Yakut
4252441596_A	4252441596_A	Yakut
4252441596_B	4252441596_B	Yakut
4252441599_A	4252441599_A	Yakut
4252441599_B	4252441599_B	Yakut
4252441600_B	4252441600_B	Yakut
4252441601_A	4252441601_A	Yakut
4252441601_B	4252441601_B	Yakut
4252441619_A	4252441619_A	Yakut
4252441619_B	4252441619_B	Yakut
